OG,branch,dN,dS
OG0012710.fa.json,TX_paternal_00026848_RA_1,0.0009235965156936,0.0048476546451836
OG0012710.fa.json,buc_00018769_RA_1,0.0389682653067822,0.2045316208098616
OG0010831.fa.json,Node2,0.0383299954381786,0.0848896819241863
OG0010831.fa.json,Rsag_NChap2_final_00002394_RA_1,0.0716268573518616,0.1586324513822467
OG0010831.fa.json,TX_maternal_00004420_RA_1,0.0047530397424646,0.0105265870057721
OG0010831.fa.json,TX_paternal_00006730_RA_1,0.0119096333136085,0.0263763397899836
OG0010831.fa.json,buc_00029764_RA_1,0.032386667291246,0.0717269557042496
OG0010258.fa.json,Node3,0.024062968944122,0.1006022699255361
OG0010258.fa.json,Rsag_NChap2_final_00000434_RA_1,0.0548866669886633,0.2294697425130217
OG0010258.fa.json,TX_maternal_00002403_RA_1,0.0025555626032601,0.0106842758855648
OG0010258.fa.json,TX_paternal_00008889_RA_1,0.0015074874371915,0.0063024915345181
OG0010258.fa.json,buc_00031039_RA_1,0.0241994113344627,0.1011727071901236
OG0014114.fa.json,Node2,0.0506907324574966,0.1156483551545445
OG0014114.fa.json,Rsag_NChap2_final_00010986_RA_1,0.0503580722331767,0.1148894075934653
OG0014114.fa.json,TX_maternal_00011284_RA_1,0.0375249290252236,0.0856112371762808
OG0014114.fa.json,TX_paternal_00014768_RA_1,0.0611877844732195,0.1395968510775013
OG0014114.fa.json,buc_00001617_RA_1,0.0659234077147399,0.1504009371887581
OG0014733.fa.json,Node2,0.0109130773331833,0.0333087033391894
OG0014733.fa.json,Rsag_NChap2_final_00013326_RA_1,0.0429565252028875,0.131111153232158
OG0014733.fa.json,TX_maternal_00013741_RA_1,0.0022225445189798,0.0067836114214767
OG0014733.fa.json,TX_paternal_00012153_RA_1,0.0355904332820348,0.1086284965927853
OG0014733.fa.json,buc_00032234_RA_1,0.0211386031376579,0.0645188739546594
OG0014940.fa.json,Node2,0.0234402247410624,0.0823989465723036
OG0014940.fa.json,Rsag_NChap2_final_00014063_RA_1,0.0376693899965189,0.1324184425713722
OG0014940.fa.json,TX_maternal_00014503_RA_1,0.001068629204205,0.0037565305655386
OG0014940.fa.json,TX_paternal_00011310_RA_1,0.0008354983228584,0.0029370103071522
OG0014940.fa.json,buc_00017467_RA_1,0.0253915012256319,0.0892582292189489
OG0008964.fa.json,Node2,0.0196021387154561,0.0872355369420037
OG0008964.fa.json,Rsag_NChap2_final_00027909_RA_1,0.0320326781391913,0.1425552546957229
OG0008964.fa.json,TX_maternal_00029008_RA_1,0.0011188188543383,0.0049790874820249
OG0008964.fa.json,TX_paternal_00032056_RA_1,0.0015580081489308,0.0069336147144408
OG0008964.fa.json,buc_00023275_RA_1,0.0183818835979132,0.0818050269384628
OG0008717.fa.json,Node2,0.026028531326718,0.1071140147712173
OG0008717.fa.json,Rsag_NChap2_final_00027114_RA_1,0.0506648533822252,0.2084987349245696
OG0008717.fa.json,TX_maternal_00028314_RA_1,0.0134419146681019,0.0553168916155695
OG0008717.fa.json,TX_paternal_00031300_RA_1,0.0021637743112232,0.0089044806495107
OG0008717.fa.json,buc_00023400_RA_1,0.0265067182955054,0.1090818755542621
OG0008130.fa.json,Node2,0.0169734604662052,0.1555467869546367
OG0008130.fa.json,Rsag_NChap2_final_00025059_RA_1,0.0287331871285288,0.2633143044523899
OG0008130.fa.json,TX_maternal_00021584_RA_1,0.0006087732762956,0.0055788698657041
OG0008130.fa.json,TX_paternal_00018820_RA_1,0.000459948360921,0.0042150208467369
OG0008130.fa.json,buc_00035877_RA_1,0.0226112706253371,0.2072123419815093
OG0015159.fa.json,Node2,0.0294166463845129,0.0935597898776958
OG0015159.fa.json,Rsag_NChap2_final_00014380_RA_1,0.0848202061850783,0.2697710868984958
OG0015159.fa.json,TX_maternal_00015073_RA_1,0.0063841966147542,0.0203049690303502
OG0015159.fa.json,TX_paternal_00010693_RA_1,0.0121727907913028,0.03871562154886
OG0015159.fa.json,buc_00018783_RA_1,0.0370297061221763,0.1177731641716848
OG0015543.fa.json,Node2,0.015435729758726,0.1025200043798681
